Fecha,Hora_Decimal,Dia,Num_Vagones,Velocidad_Operativa,Total_Esperando,Total_En_Trenes,D_Labrador,D_Quitumbe,Esp_Labrador,Esp_UCentral,Esp_SanFrancisco,Esp_Magdalena,Esp_Recreo,Esp_Quitumbe,Ocupacion_Promedio_Trenes_Porc
2025-12-02 05:40:00,5.666666666666667,Lunes,6,38.0,698,82,1.0,1.0,63,42,21,16,14,141,0.3703703703703704
2025-12-02 05:50:00,5.833333333333333,Lunes,6,38.0,1018,486,1.0,1.0,133,68,36,33,37,262,2.195121951219512
2025-12-02 06:00:00,6.0,Lunes,6,38.0,1459,736,1.0,1.0,213,115,58,62,59,388,3.3242999096657635
2025-12-02 06:10:00,6.166666666666667,Lunes,6,38.0,1643,1259,1.0,1.0,294,68,79,80,79,500,5.686540198735321
2025-12-02 06:20:00,6.333333333333333,Lunes,6,38.0,1844,1651,1.0,1.0,356,86,106,110,23,500,7.457091237579043
2025-12-02 06:30:00,6.5,Lunes,6,38.0,1992,2057,1.0,1.0,425,79,127,50,32,500,9.290876242095752
2025-12-02 06:40:00,6.666666666666667,Lunes,6,38.0,2895,2866,1.0,1.0,450,193,150,75,81,500,12.944896115627824
2025-12-02 06:50:00,6.833333333333333,Lunes,6,38.0,3250,3605,1.0,1.0,450,290,234,121,118,500,16.282746160794943
2025-12-02 07:00:00,7.0,Lunes,6,38.0,3068,4120,1.0,1.0,450,320,51,174,89,500,18.60885275519422
2025-12-02 07:10:00,7.166666666666667,Lunes,6,38.0,2995,4432,1.0,1.0,450,320,45,215,128,500,20.018066847335145
2025-12-02 07:20:00,7.333333333333333,Lunes,6,38.0,2712,4743,1.0,1.0,450,320,64,10,18,500,21.422764227642276
2025-12-02 07:30:00,7.5,Lunes,6,38.0,2789,4842,1.0,1.0,450,151,23,79,96,500,21.869918699186996
2025-12-02 07:40:00,7.666666666666667,Lunes,6,38.0,3052,4298,1.0,1.0,450,237,23,162,183,500,19.412827461607954
2025-12-02 07:50:00,7.833333333333333,Lunes,6,38.0,3366,4208,1.0,1.0,450,320,83,244,261,500,19.006323396567304
2025-12-02 08:00:00,8.0,Lunes,6,38.0,3544,3566,1.0,1.0,450,320,106,286,367,500,16.106594399277327
2025-12-02 08:10:00,8.166666666666666,Lunes,6,38.0,3511,3561,1.0,1.0,450,320,204,300,400,500,16.084010840108405
2025-12-02 08:20:00,8.333333333333334,Lunes,6,38.0,3476,3756,1.0,1.0,450,320,301,300,400,500,16.964769647696478
2025-12-02 08:30:00,8.5,Lunes,6,38.0,3047,4827,1.0,1.0,450,320,350,300,8,500,21.802168021680213
2025-12-02 08:40:00,8.666666666666666,Lunes,6,38.0,3067,5622,1.0,1.0,450,320,350,82,22,500,25.392953929539296
2025-12-02 08:50:00,8.833333333333334,Lunes,6,38.0,2571,6855,1.0,1.0,450,87,350,76,93,500,30.962059620596204
2025-12-02 09:00:00,9.0,Lunes,6,38.0,2922,7357,1.0,1.0,450,258,350,110,68,500,33.22944896115628
2025-12-02 09:10:00,9.166666666666666,Lunes,6,38.0,3012,7898,1.0,1.0,450,267,224,179,82,500,35.67299006323397
2025-12-02 09:20:00,9.333333333333334,Lunes,6,38.0,2954,8307,1.0,1.0,450,317,30,197,107,500,37.520325203252035
2025-12-02 09:30:00,9.5,Lunes,6,38.0,3010,8334,1.0,1.0,450,320,91,185,129,500,37.642276422764226
2025-12-02 09:40:00,9.666666666666666,Lunes,6,38.0,2989,8273,1.0,1.0,450,149,43,249,228,500,37.36675700090334
2025-12-02 09:50:00,9.833333333333334,Lunes,6,38.0,3028,8275,1.0,1.0,450,52,37,300,331,500,37.37579042457091
2025-12-02 10:00:00,10.0,Lunes,6,38.0,2919,7682,1.0,1.0,450,192,26,180,264,500,34.697380307136406
2025-12-02 10:10:00,10.166666666666666,Lunes,6,38.0,2858,5728,1.0,1.0,450,229,10,195,289,500,25.871725383920506
2025-12-02 10:20:00,10.333333333333334,Lunes,6,38.0,2952,4058,1.0,1.0,450,261,18,213,308,500,18.328816621499552
2025-12-02 10:30:00,10.5,Lunes,6,38.0,2826,3526,1.0,1.0,450,279,30,227,327,500,15.925925925925927
2025-12-02 10:40:00,10.666666666666666,Lunes,6,38.0,2376,3142,1.0,1.0,450,309,46,228,337,500,14.191508581752482
2025-12-02 10:50:00,10.833333333333334,Lunes,6,38.0,2361,2759,1.0,1.0,450,320,66,242,351,500,12.461607949412828
2025-12-02 11:00:00,11.0,Lunes,6,38.0,2044,2749,1.0,1.0,450,40,93,260,373,500,12.416440831074976
2025-12-02 11:10:00,11.166666666666666,Lunes,6,38.0,1824,3008,1.0,1.0,450,37,116,280,17,500,13.586269196025293
2025-12-02 11:20:00,11.333333333333334,Lunes,6,38.0,1772,3425,1.0,1.0,450,53,135,21,27,500,15.46973803071364
2025-12-02 11:30:00,11.5,Lunes,6,38.0,1777,3673,1.0,1.0,450,88,94,38,32,500,16.58988256549232
2025-12-02 11:40:00,11.666666666666666,Lunes,6,38.0,2033,3850,1.0,1.0,450,102,107,40,25,500,17.389340560072267
2025-12-02 11:50:00,11.833333333333334,Lunes,6,38.0,2088,3794,1.0,1.0,450,99,4,60,45,500,17.136404697380307
2025-12-02 12:00:00,12.0,Lunes,6,38.0,2243,3632,1.0,1.0,450,116,5,2,58,500,16.404697380307134
2025-12-02 12:10:00,12.166666666666666,Lunes,6,38.0,2191,3416,1.0,1.0,450,150,5,8,17,500,15.429087624209576
2025-12-02 12:20:00,12.333333333333334,Lunes,6,38.0,2268,2772,1.0,1.0,450,57,9,10,12,500,12.520325203252034
2025-12-02 12:30:00,12.5,Lunes,6,38.0,2176,2675,1.0,1.0,450,99,6,28,33,500,12.082204155374887
2025-12-02 12:40:00,12.666666666666666,Lunes,6,38.0,2241,2457,1.0,1.0,450,114,19,35,51,500,11.097560975609756
2025-12-02 12:50:00,12.833333333333334,Lunes,6,38.0,2155,1904,1.0,1.0,450,141,19,48,65,500,8.59981933152665
2025-12-02 13:00:00,13.0,Lunes,6,38.0,2114,1993,1.0,1.0,450,155,34,58,71,500,9.001806684733515
2025-12-02 13:10:00,13.166666666666666,Lunes,6,38.0,2093,2149,1.0,1.0,450,183,56,77,91,500,9.706413730803973
2025-12-02 13:20:00,13.333333333333334,Lunes,6,38.0,1719,2508,1.0,1.0,450,207,80,18,20,500,11.32791327913279
2025-12-02 13:30:00,13.5,Lunes,6,38.0,1837,2726,1.0,1.0,450,245,105,25,31,500,12.312556458897925
2025-12-02 13:40:00,13.666666666666666,Lunes,6,38.0,1634,3115,1.0,1.0,450,37,130,37,27,500,14.069557362240289
2025-12-02 13:50:00,13.833333333333334,Lunes,6,38.0,1911,3219,1.0,1.0,450,44,147,50,32,500,14.539295392953926
2025-12-02 14:00:00,14.0,Lunes,6,38.0,1935,3331,1.0,1.0,450,62,99,51,41,500,15.045167118337845
2025-12-02 14:10:00,14.166666666666666,Lunes,6,38.0,1919,3415,1.0,1.0,450,76,7,60,49,500,15.424570912375787
2025-12-02 14:20:00,14.333333333333334,Lunes,6,38.0,1930,3385,1.0,1.0,450,15,6,73,52,500,15.289069557362241
2025-12-02 14:30:00,14.5,Lunes,6,38.0,2127,3340,1.0,1.0,450,3,9,83,81,500,15.085817524841916
2025-12-02 14:40:00,14.666666666666666,Lunes,6,38.0,2097,3161,1.0,1.0,450,11,8,18,104,500,14.277326106594396
2025-12-02 14:50:00,14.833333333333334,Lunes,6,38.0,2098,2826,1.0,1.0,450,35,7,33,58,500,12.764227642276419
2025-12-02 15:00:00,15.0,Lunes,6,38.0,2278,1657,1.0,1.0,450,50,10,49,63,500,7.484191508581752
2025-12-02 15:10:00,15.166666666666666,Lunes,6,38.0,2119,1607,1.0,1.0,450,81,15,56,83,500,7.258355916892502
2025-12-02 15:20:00,15.333333333333334,Lunes,6,38.0,2119,1561,1.0,1.0,450,110,37,67,100,500,7.050587172538392
2025-12-02 15:30:00,15.5,Lunes,6,38.0,1786,2048,1.0,1.0,450,134,58,83,123,500,9.25022583559169
