Ciclo,Hora,Labrador,Iñaquito,Carolina,UCE,San Francisco,Recreo,Quitumbe
0,05:00:00,4,2,1,1,2,2,0
6,05:01:00,4,2,1,1,2,2,0
12,05:02:00,4,2,1,1,2,2,0
18,05:03:00,4,2,1,1,2,3,0
24,05:04:00,4,2,1,1,2,3,0
30,05:05:00,9,2,1,2,2,1,4
36,05:06:00,9,2,1,1,2,1,4
42,05:07:00,9,2,1,1,1,1,4
48,05:08:00,9,2,1,1,1,1,4
54,05:09:00,9,3,1,1,1,1,4
60,05:10:00,12,4,3,2,1,3,6
66,05:11:00,12,4,3,1,1,3,7
72,05:12:00,12,5,3,0,0,1,7
78,05:13:00,12,5,0,0,0,1,7
84,05:14:00,12,5,0,0,0,1,7
90,05:15:00,16,5,2,1,0,0,8
96,05:16:00,0,5,2,1,0,0,9
102,05:17:00,0,5,2,0,0,0,0
108,05:18:00,0,5,1,0,0,1,0
114,05:19:00,0,5,0,0,0,1,0
120,05:20:00,1,6,0,1,0,2,5
126,05:21:00,0,6,0,1,0,2,5
132,05:22:00,0,6,0,0,0,0,0
138,05:23:00,0,6,0,0,0,0,0
144,05:24:00,0,6,0,0,0,0,1
150,05:25:00,3,6,2,1,1,1,4
156,05:26:00,0,6,2,1,1,1,4
162,05:27:00,1,6,2,0,0,0,0
168,05:28:00,1,6,0,0,0,0,0
174,05:29:00,1,6,1,0,0,0,0
180,05:30:00,2,7,2,1,2,1,2
186,05:31:00,0,7,2,1,2,2,2
192,05:32:00,0,7,2,0,0,0,0
198,05:33:00,0,7,1,0,0,0,1
204,05:34:00,0,7,0,0,0,0,1
210,05:35:00,1,8,1,0,0,2,1
216,05:36:00,0,8,1,0,0,2,1
222,05:37:00,0,8,1,0,0,0,0
228,05:38:00,0,8,0,0,0,0,0
234,05:39:00,0,8,1,0,0,0,0
240,05:40:00,1,10,1,0,2,1,0
246,05:41:00,0,10,1,0,2,1,0
252,05:42:00,0,10,1,0,0,0,0
258,05:43:00,0,11,1,0,0,0,0
264,05:44:00,0,12,0,0,0,0,0
270,05:45:00,0,13,3,2,2,0,0
276,05:46:00,0,13,3,0,0,0,0
282,05:47:00,0,10,0,0,0,0,0
288,05:48:00,0,0,0,0,0,0,0
294,05:49:00,0,0,0,0,0,0,0
300,05:50:00,3,2,0,1,1,0,1
306,05:51:00,0,2,0,1,1,0,0
312,05:52:00,0,0,0,1,1,1,0
318,05:53:00,0,0,0,0,1,1,0
324,05:54:00,0,0,0,0,1,1,0
330,05:55:00,1,1,2,1,1,2,2
336,05:56:00,1,1,2,1,1,2,2
342,05:57:00,1,0,2,1,0,2,2
348,05:58:00,0,0,2,1,0,2,0
354,05:59:00,1,0,2,0,0,2,0
360,06:00:00,5,2,3,1,1,4,0
366,06:01:00,6,2,4,1,1,4,0
372,06:02:00,0,2,4,1,1,0,0
378,06:03:00,0,2,1,1,1,0,0
384,06:04:00,0,2,1,1,1,0,0
390,06:05:00,1,5,3,2,3,1,2
396,06:06:00,0,5,3,2,4,0,0
402,06:07:00,0,5,3,2,4,0,0
408,06:08:00,0,5,2,2,2,0,0
414,06:09:00,0,5,2,2,2,0,0
420,06:10:00,1,5,2,4,2,2,4
426,06:11:00,1,5,2,4,2,2,4
432,06:12:00,1,5,2,3,2,1,4
438,06:13:00,0,5,2,3,2,1,0
444,06:14:00,0,5,2,3,2,0,0
450,06:15:00,0,6,3,4,4,0,3
456,06:16:00,0,6,3,4,4,0,0
462,06:17:00,0,5,3,4,5,0,0
468,06:18:00,0,5,3,4,4,0,0
474,06:19:00,0,5,3,4,4,0,0
480,06:20:00,2,7,4,4,4,2,1
486,06:21:00,2,7,4,4,4,2,0
492,06:22:00,2,7,4,4,4,0,0
498,06:23:00,0,7,3,4,4,0,0
504,06:24:00,0,7,3,4,4,0,0
510,06:25:00,3,8,4,6,6,1,4
516,06:26:00,3,0,4,6,6,1,0
522,06:27:00,3,0,4,6,6,0,0
528,06:28:00,2,0,4,6,5,0,0
534,06:29:00,2,0,4,6,5,0,0
540,06:30:00,6,2,5,6,5,1,4
546,06:31:00,0,2,5,6,5,1,0
552,06:32:00,0,2,5,6,5,0,0
558,06:33:00,0,2,4,6,5,0,0
564,06:34:00,0,2,4,6,5,0,0
570,06:35:00,0,3,4,6,5,1,4
576,06:36:00,0,3,4,6,5,1,0
582,06:37:00,0,3,4,6,5,0,0
588,06:38:00,0,3,4,7,5,0,0
594,06:39:00,0,3,4,7,5,0,0
600,06:40:00,0,3,6,8,5,1,3
606,06:41:00,0,3,6,8,5,2,3
612,06:42:00,1,4,6,8,5,0,3
618,06:43:00,0,4,4,8,5,0,0
624,06:44:00,0,4,4,8,5,1,0
630,06:45:00,3,5,6,10,6,4,4
636,06:46:00,0,5,6,10,6,4,0
642,06:47:00,0,4,6,9,6,0,0
648,06:48:00,0,4,5,9,5,0,0
654,06:49:00,0,4,5,9,5,0,0
660,06:50:00,4,5,6,11,7,0,3
666,06:51:00,0,5,6,11,8,0,0
672,06:52:00,0,5,6,11,8,0,0
678,06:53:00,0,5,6,11,8,0,0
684,06:54:00,1,5,6,11,8,0,1
690,06:55:00,2,5,8,12,6,1,4
696,06:56:00,0,0,8,12,6,2,0
702,06:57:00,1,0,8,12,6,0,0
708,06:58:00,0,0,6,12,5,0,0
714,06:59:00,0,0,7,12,5,0,0
720,07:00:00,2,1,7,13,7,1,2
726,07:01:00,0,1,7,14,7,1,0
732,07:02:00,0,1,7,14,7,0,0
738,07:03:00,0,1,7,14,5,0,0
744,07:04:00,0,1,7,14,5,0,0
750,07:05:00,2,2,9,16,5,1,1
756,07:06:00,0,2,9,16,5,1,0
762,07:07:00,0,2,10,16,5,0,0
768,07:08:00,0,2,8,16,5,0,0
774,07:09:00,0,2,8,16,5,0,0
780,07:10:00,2,4,9,16,5,1,3
786,07:11:00,0,4,9,16,5,1,3
792,07:12:00,0,4,9,16,5,0,3
798,07:13:00,0,4,9,16,5,0,0
804,07:14:00,0,4,9,16,5,0,0
810,07:15:00,1,4,11,16,7,1,2
816,07:16:00,0,4,11,16,7,1,0
822,07:17:00,0,5,11,16,8,1,0
828,07:18:00,0,5,9,16,5,1,0
834,07:19:00,0,5,10,16,5,0,0
840,07:20:00,4,6,10,17,7,2,3
846,07:21:00,0,6,10,18,7,2,0
852,07:22:00,0,6,10,17,7,0,0
858,07:23:00,0,6,9,17,7,0,0
864,07:24:00,0,6,9,17,7,0,0
870,07:25:00,2,9,9,18,5,1,4
876,07:26:00,0,0,9,18,5,1,0
882,07:27:00,0,0,9,18,5,0,1
888,07:28:00,0,0,9,18,5,0,0
894,07:29:00,0,0,9,18,5,0,0
900,07:30:00,3,1,11,19,7,0,3
906,07:31:00,0,1,11,19,7,0,0
912,07:32:00,0,1,12,19,7,0,0
918,07:33:00,1,1,9,19,7,0,0
924,07:34:00,1,1,10,19,7,0,0
930,07:35:00,4,3,11,19,7,1,2
936,07:36:00,0,3,11,19,7,2,0
942,07:37:00,0,3,11,19,7,2,0
948,07:38:00,0,3,9,19,7,2,0
954,07:39:00,0,3,9,19,7,0,0
960,07:40:00,1,6,11,21,8,2,4
966,07:41:00,0,6,11,22,8,2,4
972,07:42:00,0,6,11,20,9,1,4
978,07:43:00,0,6,9,20,8,1,0
984,07:44:00,0,6,9,21,8,0,0
990,07:45:00,0,8,10,23,10,2,0
996,07:46:00,0,8,10,23,10,2,0
1002,07:47:00,0,7,10,21,10,0,0
1008,07:48:00,0,7,10,21,9,0,0
1014,07:49:00,0,7,10,21,9,0,1
1020,07:50:00,3,9,10,21,11,1,2
1026,07:51:00,0,9,10,21,11,1,1
1032,07:52:00,0,9,10,21,11,1,1
1038,07:53:00,0,9,10,21,11,1,0
1044,07:54:00,0,9,10,21,12,0,0
1050,07:55:00,1,11,11,22,9,2,4
1056,07:56:00,0,1,11,22,9,2,0
1062,07:57:00,0,1,11,22,9,0,1
1068,07:58:00,1,1,11,23,9,0,0
1074,07:59:00,1,2,12,23,9,0,0
1080,08:00:00,1,3,12,24,9,0,1
1086,08:01:00,0,3,12,24,9,0,0
1092,08:02:00,0,3,12,24,10,0,0
1098,08:03:00,0,3,12,24,10,0,0
1104,08:04:00,0,3,12,24,10,0,0
1110,08:05:00,2,3,12,26,10,0,3
1116,08:06:00,0,3,12,26,10,0,0
1122,08:07:00,0,3,12,25,10,0,0
1128,08:08:00,0,3,12,26,10,0,0
1134,08:09:00,0,4,12,26,10,0,0
1140,08:10:00,0,6,13,28,11,0,4
1146,08:11:00,0,6,13,28,11,0,4
1152,08:12:00,0,6,13,28,11,0,4
1158,08:13:00,0,6,12,28,11,0,0
1164,08:14:00,0,7,12,28,11,0,0
1170,08:15:00,0,9,14,30,14,0,1
1176,08:16:00,0,9,14,30,14,0,1
1182,08:17:00,0,9,14,30,14,0,1
1188,08:18:00,0,9,13,30,13,0,0
1194,08:19:00,0,9,13,30,13,0,0
1200,08:20:00,1,10,15,32,13,1,0
1206,08:21:00,0,10,15,32,13,1,0
1212,08:22:00,0,10,15,31,13,0,0
1218,08:23:00,1,10,13,31,13,0,0
1224,08:24:00,1,10,13,31,13,0,0
1230,08:25:00,6,10,14,32,14,2,4
1236,08:26:00,0,0,14,32,14,2,0
1242,08:27:00,0,0,14,32,14,0,0
1248,08:28:00,1,0,13,32,13,0,0
1254,08:29:00,1,0,13,32,13,0,0
1260,08:30:00,1,1,15,32,14,2,4
1266,08:31:00,0,1,15,33,14,2,0
1272,08:32:00,0,1,15,33,14,0,0
1278,08:33:00,0,1,13,33,13,0,0
1284,08:34:00,0,1,13,32,13,0,0
1290,08:35:00,0,3,13,33,13,2,2
1296,08:36:00,0,3,13,33,14,0,0
1302,08:37:00,0,2,13,33,14,0,0
1308,08:38:00,0,2,13,33,14,0,0
1314,08:39:00,0,2,13,33,14,0,0
1320,08:40:00,4,3,14,34,14,1,0
1326,08:41:00,0,3,14,34,14,1,1
1332,08:42:00,0,3,14,34,14,0,1
1338,08:43:00,0,3,13,34,14,0,0
1344,08:44:00,0,3,13,34,14,0,0
1350,08:45:00,1,3,13,35,15,2,2
1356,08:46:00,0,3,13,35,16,2,0
1362,08:47:00,0,3,13,35,16,0,0
1368,08:48:00,0,3,13,35,15,0,0
1374,08:49:00,0,3,13,35,15,0,0
1380,08:50:00,4,4,14,37,17,0,4
1386,08:51:00,1,4,14,37,17,0,0
1392,08:52:00,1,4,14,36,17,0,0
1398,08:53:00,0,4,14,36,17,1,0
1404,08:54:00,0,4,14,36,17,0,0
1410,08:55:00,2,4,14,38,18,1,3
1416,08:56:00,0,0,14,38,18,1,0
1422,08:57:00,0,0,14,38,18,0,0
1428,08:58:00,0,0,14,38,17,0,0
1434,08:59:00,0,0,14,38,17,0,0
1440,09:00:00,4,0,16,40,19,2,1
1446,09:01:00,1,0,16,40,19,2,0
1452,09:02:00,1,0,16,40,19,0,0
1458,09:03:00,0,0,14,40,19,0,0
1464,09:04:00,0,0,14,40,19,0,0
1470,09:05:00,2,0,15,40,19,2,4
1476,09:06:00,0,0,15,40,19,1,0
1482,09:07:00,0,0,15,40,19,0,0
1488,09:08:00,1,0,14,40,19,0,0
1494,09:09:00,1,0,14,40,19,0,0
1500,09:10:00,4,0,16,41,19,2,0
1506,09:11:00,0,0,16,41,19,2,0
1512,09:12:00,0,0,16,41,19,0,0
1518,09:13:00,0,0,15,41,19,0,0
1524,09:14:00,0,0,16,42,19,0,0
1530,09:15:00,3,1,16,42,19,1,0
1536,09:16:00,0,1,16,42,19,1,0
1542,09:17:00,0,1,16,42,19,0,0
1548,09:18:00,0,1,15,42,19,0,0
1554,09:19:00,0,1,15,42,19,0,0
1560,09:20:00,2,3,17,43,20,0,1
1566,09:21:00,0,3,17,43,20,0,0
1572,09:22:00,0,3,17,43,20,0,0
1578,09:23:00,0,3,15,43,20,0,0
1584,09:24:00,0,3,15,43,20,0,0
1590,09:25:00,4,4,17,44,21,2,1
1596,09:26:00,0,0,17,44,21,2,0
1602,09:27:00,0,0,17,43,21,0,0
1608,09:28:00,0,0,15,43,21,0,0
1614,09:29:00,0,0,15,43,21,0,0
1620,09:30:00,1,1,17,45,22,1,4
1626,09:31:00,0,1,17,45,22,1,0
1632,09:32:00,0,1,17,45,22,0,0
1638,09:33:00,0,1,15,45,22,0,0
1644,09:34:00,0,2,15,45,22,0,0
1650,09:35:00,4,1,15,47,22,0,3
1656,09:36:00,0,1,15,47,22,0,0
1662,09:37:00,0,1,15,46,22,0,0
1668,09:38:00,0,1,15,46,22,0,0
1674,09:39:00,0,1,15,46,22,0,0
1680,09:40:00,4,3,15,48,23,2,2
1686,09:41:00,0,3,15,48,23,2,2
1692,09:42:00,0,2,15,47,23,0,2
1698,09:43:00,0,2,16,47,23,0,0
1704,09:44:00,1,2,16,47,24,0,0
1710,09:45:00,5,4,17,49,25,2,0
1716,09:46:00,0,4,17,49,25,2,0
1722,09:47:00,0,4,17,48,25,0,0
1728,09:48:00,0,4,15,48,23,0,0
1734,09:49:00,0,4,15,49,23,0,0
1740,09:50:00,4,6,17,50,24,0,2
1746,09:51:00,0,6,17,50,24,0,0
1752,09:52:00,0,6,17,50,24,0,0
1758,09:53:00,0,6,15,50,24,0,0
1764,09:54:00,0,7,15,50,24,0,0
1770,09:55:00,1,7,15,51,23,3,0
1776,09:56:00,0,0,15,51,23,3,0
1782,09:57:00,0,0,15,51,23,0,0
1788,09:58:00,0,0,15,51,23,0,0
1794,09:59:00,0,0,15,51,23,0,0
1800,10:00:00,0,1,15,52,23,1,4
1806,10:01:00,0,1,15,52,23,1,0
1812,10:02:00,0,1,15,52,23,0,0
1818,10:03:00,0,1,15,52,23,0,0
1824,10:04:00,0,1,15,52,23,0,0
1830,10:05:00,1,2,15,52,24,2,1
1836,10:06:00,0,2,15,52,24,0,0
1842,10:07:00,0,2,15,51,24,0,0
1848,10:08:00,0,2,15,51,24,0,0
1854,10:09:00,0,2,15,51,24,0,0
1860,10:10:00,0,4,17,54,25,2,3
1866,10:11:00,0,4,17,54,25,2,3
1872,10:12:00,0,4,17,53,25,0,3
1878,10:13:00,0,4,16,53,25,0,3
1884,10:14:00,0,4,17,53,25,0,3
1890,10:15:00,4,5,19,55,24,2,7
1896,10:16:00,0,5,19,55,24,2,0
1902,10:17:00,0,5,19,55,24,1,0
1908,10:18:00,1,5,16,55,24,1,0
1914,10:19:00,1,5,17,55,24,0,0
1920,10:20:00,2,5,18,57,24,2,4
1926,10:21:00,0,5,19,57,24,2,0
1932,10:22:00,0,5,19,57,24,2,0
1938,10:23:00,1,5,19,57,24,2,0
1944,10:24:00,1,5,19,57,24,0,0
1950,10:25:00,1,6,17,58,24,0,3
1956,10:26:00,1,7,17,58,25,0,3
1962,10:27:00,1,7,17,58,25,0,3
1968,10:28:00,0,7,17,58,25,0,0
1974,10:29:00,0,8,17,58,25,0,0
1980,10:30:00,0,8,19,59,26,0,2
1986,10:31:00,0,8,19,60,26,0,2
1992,10:32:00,0,8,19,57,26,0,3
1998,10:33:00,1,9,19,57,26,0,3
2004,10:34:00,1,9,19,57,26,0,3
2010,10:35:00,2,11,22,57,26,0,6
2016,10:36:00,2,11,22,57,26,0,6
2022,10:37:00,2,11,22,57,26,0,6
2028,10:38:00,2,11,18,57,26,0,6
2034,10:39:00,2,11,18,57,26,0,6
2040,10:40:00,6,12,20,58,27,1,8
2046,10:41:00,0,12,20,59,27,1,0
2052,10:42:00,1,12,20,59,27,1,0
2058,10:43:00,1,12,20,59,26,1,0
2064,10:44:00,1,12,20,59,26,0,0
2070,10:45:00,1,13,21,61,27,2,3
2076,10:46:00,1,13,21,61,28,2,3
2082,10:47:00,1,13,21,61,28,2,3
2088,10:48:00,0,13,21,61,28,2,0
2094,10:49:00,0,13,21,61,28,2,0
2100,10:50:00,0,13,23,62,29,2,3
2106,10:51:00,0,13,23,62,29,2,3
2112,10:52:00,0,14,23,62,29,1,3
2118,10:53:00,0,15,24,62,29,1,3
2124,10:54:00,1,15,24,62,29,1,3
2130,10:55:00,3,16,26,64,29,3,3
2136,10:56:00,3,16,26,64,29,3,3
2142,10:57:00,3,16,26,64,29,0,3
2148,10:58:00,3,16,22,65,29,0,3
2154,10:59:00,4,16,22,65,29,0,3
2160,11:00:00,7,18,22,67,29,1,5
2166,11:01:00,0,18,22,67,29,1,0
2172,11:02:00,0,18,22,67,29,1,0
2178,11:03:00,0,18,22,67,29,1,0
2184,11:04:00,0,18,22,67,29,1,1
2190,11:05:00,0,20,23,69,29,3,4
2196,11:06:00,0,20,23,69,29,3,4
2202,11:07:00,0,20,23,69,29,3,4
2208,11:08:00,0,20,23,69,30,3,1
2214,11:09:00,1,20,23,70,30,3,2
2220,11:10:00,2,21,24,70,30,4,3
2226,11:11:00,2,21,24,70,30,4,3
2232,11:12:00,2,21,24,70,31,3,4
2238,11:13:00,2,21,24,70,31,4,4
2244,11:14:00,2,21,25,70,32,4,4
2250,11:15:00,3,24,26,70,33,4,8
2256,11:16:00,3,24,28,71,33,4,8
2262,11:17:00,3,25,29,72,33,0,8
2268,11:18:00,4,25,23,72,33,0,10
2274,11:19:00,4,25,24,70,33,0,11
2280,11:20:00,6,25,25,72,36,1,13
2286,11:21:00,0,25,25,72,37,1,0
2292,11:22:00,0,26,25,73,37,2,0
2298,11:23:00,0,27,25,73,33,2,1
2304,11:24:00,0,27,25,74,33,0,1
2310,11:25:00,2,28,24,75,33,0,3
2316,11:26:00,2,28,24,75,34,1,3
2322,11:27:00,2,28,25,75,35,1,4
2328,11:28:00,0,28,25,75,35,1,0
2334,11:29:00,0,28,25,75,35,2,0
2340,11:30:00,1,30,25,76,37,4,2
2346,11:31:00,1,30,25,76,37,4,2
2352,11:32:00,2,30,25,74,37,2,2
2358,11:33:00,2,31,25,75,37,2,2
2364,11:34:00,2,31,26,76,37,2,2
2370,11:35:00,5,32,26,78,36,2,5
2376,11:36:00,5,32,26,78,37,2,5
2382,11:37:00,5,34,26,79,37,0,6
2388,11:38:00,8,34,24,79,37,1,6
2394,11:39:00,9,34,25,78,37,0,7
2400,11:40:00,12,36,27,79,39,1,8
2406,11:41:00,0,37,27,79,40,1,0
2412,11:42:00,0,37,27,80,41,1,0
2418,11:43:00,0,38,27,80,35,1,1
2424,11:44:00,1,38,28,81,35,0,2
2430,11:45:00,2,38,24,83,38,2,5
2436,11:46:00,2,38,25,83,39,2,5
2442,11:47:00,2,38,25,83,39,3,5
2448,11:48:00,0,38,26,83,40,4,0
2454,11:49:00,0,38,27,83,41,4,0
2460,11:50:00,1,39,28,83,43,5,2
2466,11:51:00,3,39,28,83,43,5,2
2472,11:52:00,3,40,28,81,43,3,2
2478,11:53:00,4,41,28,81,44,4,2
2484,11:54:00,5,41,28,81,45,4,2
2490,11:55:00,8,43,28,83,39,6,6
2496,11:56:00,8,43,29,83,39,7,6
2502,11:57:00,8,43,29,83,39,2,6
2508,11:58:00,9,43,26,83,39,3,6
2514,11:59:00,9,43,26,83,39,1,6
2520,12:00:00,9,44,27,85,39,1,9
2526,12:01:00,1,44,27,86,39,1,0
2532,12:02:00,1,44,28,86,39,1,0
2538,12:03:00,1,44,28,86,39,1,0
2544,12:04:00,1,44,28,86,39,0,1
2550,12:05:00,3,46,26,89,41,0,5
2556,12:06:00,3,47,26,90,41,0,5
2562,12:07:00,4,49,28,90,41,0,5
2568,12:08:00,0,50,28,90,41,1,0
2574,12:09:00,0,50,29,90,41,2,1
2580,12:10:00,0,50,31,91,43,4,3
2586,12:11:00,3,50,31,91,43,4,3
2592,12:12:00,4,50,31,89,44,4,3
2598,12:13:00,4,51,31,89,44,4,4
2604,12:14:00,4,51,31,89,44,5,5
2610,12:15:00,4,52,32,91,42,7,9
2616,12:16:00,4,52,33,91,42,8,9
2622,12:17:00,4,52,33,91,42,4,9
2628,12:18:00,4,53,29,92,42,4,10
2634,12:19:00,4,53,29,92,42,3,10
2640,12:20:00,5,55,37,92,42,4,10
2646,12:21:00,0,55,38,92,42,4,0
2652,12:22:00,3,55,38,92,42,4,0
2658,12:23:00,3,56,38,92,43,4,0
2664,12:24:00,3,57,38,92,43,1,0
2670,12:25:00,5,58,37,92,43,2,0
2676,12:26:00,5,58,37,93,43,2,0
2682,12:27:00,5,59,37,93,43,2,2
2688,12:28:00,2,60,37,93,43,2,0
2694,12:29:00,2,60,37,93,43,2,0
2700,12:30:00,4,61,45,107,44,3,1
2706,12:31:00,4,61,45,107,45,3,1
2712,12:32:00,5,61,47,103,45,2,2
2718,12:33:00,6,61,48,103,45,2,2
2724,12:34:00,6,61,48,103,45,2,2
2730,12:35:00,8,62,49,112,47,4,2
2736,12:36:00,8,62,49,112,47,4,2
2742,12:37:00,8,61,50,112,47,1,2
2748,12:38:00,8,61,34,112,47,3,3
2754,12:39:00,8,62,34,111,47,2,3
2760,12:40:00,14,62,38,112,48,2,5
2766,12:41:00,0,62,38,113,48,2,0
2772,12:42:00,0,62,38,113,48,2,1
2778,12:43:00,0,62,39,113,45,3,1
2784,12:44:00,0,63,39,113,45,0,2
2790,12:45:00,3,63,37,122,50,4,2
2796,12:46:00,3,63,37,123,51,4,2
2802,12:47:00,3,65,38,123,51,5,2
2808,12:48:00,1,65,38,123,52,5,0
2814,12:49:00,1,65,38,123,52,6,0
2820,12:50:00,2,66,50,141,59,8,1
2826,12:51:00,2,66,50,141,59,8,1
2832,12:52:00,2,66,50,132,60,6,1
2838,12:53:00,2,66,50,132,60,6,1
2844,12:54:00,2,66,52,132,60,6,2
2850,12:55:00,4,69,61,141,62,9,3
2856,12:56:00,4,69,61,141,63,9,3
2862,12:57:00,4,68,61,142,63,1,3
2868,12:58:00,5,68,42,143,63,1,4
2874,12:59:00,5,69,42,138,63,0,4
2880,13:00:00,5,69,53,150,74,0,9
2886,13:01:00,0,69,54,150,74,0,0
2892,13:02:00,0,70,54,150,74,0,0
2898,13:03:00,0,70,55,151,61,0,0
2904,13:04:00,0,70,55,151,61,0,0
2910,13:05:00,3,71,60,168,68,1,3
2916,13:06:00,4,71,61,168,69,1,3
2922,13:07:00,4,71,62,168,69,1,3
2928,13:08:00,1,71,63,169,69,1,0
2934,13:09:00,1,71,63,169,69,2,0
2940,13:10:00,5,72,71,178,70,3,3
2946,13:11:00,6,72,71,178,70,5,4
2952,13:12:00,6,72,71,164,71,4,4
2958,13:13:00,6,73,71,164,71,4,4
2964,13:14:00,6,73,71,164,71,4,4
2970,13:15:00,8,73,77,164,79,4,15
2976,13:16:00,8,74,77,165,79,4,15
2982,13:17:00,8,74,77,166,79,0,15
2988,13:18:00,9,74,52,167,79,0,15
2994,13:19:00,10,74,52,166,79,0,15
3000,13:20:00,14,75,54,181,91,1,21
3006,13:21:00,0,75,54,182,91,1,1
3012,13:22:00,0,76,54,182,91,1,1
3018,13:23:00,0,76,54,182,80,1,2
3024,13:24:00,0,76,54,183,80,0,3
3030,13:25:00,1,76,56,191,81,0,14
3036,13:26:00,2,76,56,191,81,0,14
3042,13:27:00,2,77,56,191,81,0,14
3048,13:28:00,1,77,56,191,82,0,0
3054,13:29:00,1,77,56,191,83,0,0
3060,13:30:00,3,79,68,209,92,1,7
3066,13:31:00,3,80,68,209,92,3,8
3072,13:32:00,3,80,68,197,92,3,8
3078,13:33:00,3,80,68,198,93,3,8
3084,13:34:00,3,80,68,198,93,3,8
3090,13:35:00,7,82,73,213,92,4,18
3096,13:36:00,7,82,75,213,92,4,18
3102,13:37:00,7,82,76,213,92,2,18
3108,13:38:00,7,82,60,213,92,2,18
3114,13:39:00,8,82,60,206,92,1,18
3120,13:40:00,8,83,72,222,106,2,21
3126,13:41:00,0,83,72,222,106,3,0
3132,13:42:00,0,83,73,222,106,4,0
3138,13:43:00,0,83,73,223,96,4,1
3144,13:44:00,0,85,73,223,96,2,1
