Ciclo,Hora,Total_Viajando,Total_Esperando,Trenes_Activos,Capacidad_Ofertada
0,05:00:00,0,12,2,2460
6,05:01:00,0,12,2,2460
12,05:02:00,0,12,2,2460
18,05:03:00,0,13,2,2460
24,05:04:00,0,14,2,2460
30,05:05:00,2,22,4,4920
36,05:06:00,3,22,4,4920
42,05:07:00,4,22,4,4920
48,05:08:00,4,23,4,4920
54,05:09:00,4,24,4,4920
60,05:10:00,6,35,6,7380
66,05:11:00,7,36,6,7380
72,05:12:00,11,33,6,7380
78,05:13:00,16,28,6,7380
84,05:14:00,16,30,6,7380
90,05:15:00,19,36,8,9840
96,05:16:00,37,20,8,9840
102,05:17:00,47,10,8,9840
108,05:18:00,49,10,8,9840
114,05:19:00,51,8,8,9840
120,05:20:00,47,17,10,12300
126,05:21:00,47,15,10,12300
132,05:22:00,54,8,10,12300
138,05:23:00,53,7,10,12300
144,05:24:00,51,9,10,12300
150,05:25:00,50,20,12,14760
156,05:26:00,54,16,12,14760
162,05:27:00,59,11,12,14760
168,05:28:00,54,10,12,14760
174,05:29:00,49,11,12,14760
180,05:30:00,44,20,14,17220
186,05:31:00,42,18,14,17220
192,05:32:00,41,11,13,15990
198,05:33:00,38,12,12,14760
204,05:34:00,38,12,12,14760
210,05:35:00,34,17,14,17220
216,05:36:00,36,14,14,17220
222,05:37:00,36,11,13,15990
228,05:38:00,34,10,12,14760
234,05:39:00,28,12,12,14760
240,05:40:00,28,19,14,17220
246,05:41:00,28,17,14,17220
252,05:42:00,27,15,13,15990
258,05:43:00,26,14,12,14760
264,05:44:00,26,14,12,14760
270,05:45:00,28,20,14,17220
276,05:46:00,32,16,14,17220
282,05:47:00,31,10,12,14760
288,05:48:00,41,0,12,14760
294,05:49:00,41,1,12,14760
300,05:50:00,40,9,14,17220
306,05:51:00,35,5,12,14760
312,05:52:00,36,4,12,14760
318,05:53:00,34,2,12,14760
324,05:54:00,29,3,11,13530
330,05:55:00,27,12,12,14760
336,05:56:00,27,14,12,14760
342,05:57:00,28,11,12,14760
348,05:58:00,33,6,12,14760
354,05:59:00,26,7,10,12300
360,06:00:00,27,17,12,14760
366,06:01:00,27,20,12,14760
372,06:02:00,17,10,10,12300
378,06:03:00,20,6,10,12300
384,06:04:00,20,6,10,12300
390,06:05:00,20,19,12,14760
396,06:06:00,9,15,10,12300
402,06:07:00,9,15,10,12300
408,06:08:00,12,12,10,12300
414,06:09:00,13,13,10,12300
420,06:10:00,6,22,10,12300
426,06:11:00,6,22,10,12300
432,06:12:00,9,20,10,12300
438,06:13:00,14,16,10,12300
444,06:14:00,15,15,10,12300
