'Ciclo','Hora','Total_Viajando','Total_Esperando','Trenes_Activos','Capacidad_Ofertada'
Ciclo,Hora,Total_Viajando,Total_Esperando,Trenes_Activos,Capacidad_Ofertada
0,06:30:00,0,3,2,2460
60,06:31:00,0,19,2,2460
120,06:32:00,0,35,2,2460
180,06:33:00,0,50,2,2460
240,06:34:00,1,64,2,2460
300,06:35:00,2,79,4,4920
360,06:36:00,3,94,4,4920
420,06:37:00,6,107,4,4920
480,06:38:00,12,116,4,4920
540,06:39:00,24,119,4,4920
600,06:40:00,35,123,6,7380
660,06:41:00,39,133,6,7380
720,06:42:00,55,132,6,7380
780,06:43:00,80,119,6,7380
840,06:44:00,170,43,6,7380
900,06:45:00,188,6,8,9840
960,06:46:00,136,6,8,9840
1020,06:47:00,51,7,6,7380
1080,06:48:00,16,8,4,4920
1140,06:49:00,6,15,2,2460
1200,06:50:00,18,17,4,4920
1260,06:51:00,3,14,2,2460
1320,06:52:00,8,25,2,2460
1380,06:53:00,35,14,2,2460
1440,06:54:00,28,23,2,2460
1500,06:55:00,34,24,4,4920
1560,06:56:00,5,12,2,2460
1620,06:57:00,16,17,2,2460
1680,06:58:00,32,14,2,2460
1740,06:59:00,32,22,2,2460
1800,07:00:00,30,23,4,4920
1860,07:01:00,5,15,2,2460
1920,07:02:00,12,24,2,2460
1980,07:03:00,34,14,2,2460
2040,07:04:00,31,22,2,2460
2100,07:05:00,28,22,4,4920
